,Time,X,Y,Speed,New speed,Latitude,Longitude,Direction,dLambda,dPhi
138,2021-09-21 22:31:04,-15.257871168019825,-38.36024231326293,0.091,0.0,47.3831235,8.5033513,0.0,-0.0,0.0
139,2021-09-21 22:31:05,-15.19879337898678,-38.434536973720796,0.036,0.0,47.3831237,8.5033519,0.0,-0.0,0.0
140,2021-09-21 22:31:06,-15.19879337898678,-38.434536973720796,0.024,0.0,47.3831238,8.5033526,0.0,-0.0,0.0
141,2021-09-21 22:31:07,-15.19879337898678,-38.434536973720796,0.016,0.09492039680480957,47.3831239,8.503353,180.0,-0.09492039680480957,0.0
142,2021-09-21 22:31:08,-15.19879337898678,-38.434536973720796,0.056,0.0,47.3831241,8.5033534,0.0,0.0,0.0
143,2021-09-21 22:31:09,-15.257871168019825,-38.36024231326293,0.022,0.0,47.3831241,8.5033541,0.0,-0.0,0.0
144,2021-09-21 22:31:10,-15.257871168019825,-38.36024231326293,0.03,0.09492039680480957,47.3831242,8.5033545,180.0,-0.09492039680480957,-0.0
145,2021-09-21 22:31:11,-15.257871168019825,-38.36024231326293,0.05,0.0,47.3831249,8.5033541,0.0,-0.0,-0.0
146,2021-09-21 22:31:12,-15.316948957052869,-38.28594765280506,0.021,0.0,47.3831253,8.5033538,0.0,-0.0,-0.0
147,2021-09-21 22:31:13,-15.316948957052869,-38.28594765280506,0.041,0.0,47.3831255,8.5033534,0.0,-0.0,-0.0
148,2021-09-21 22:31:14,-15.316948957052869,-38.28594765280506,0.014,0.0,47.3831262,8.5033525,0.0,-0.0,-0.0
149,2021-09-21 22:31:15,-15.316948957052869,-38.28594765280506,0.054,0.1342377125071975,47.3831265,8.5033516,225.0,-0.09492039680480957,-0.09492039680480957
150,2021-09-21 22:31:16,-15.316948957052869,-38.28594765280506,0.019,0.1342377125072005,47.3831271,8.5033502,270.0,-0.0,-0.1342377125071975
151,2021-09-21 22:31:17,-15.450321406543779,-38.270730781380244,0.082,0.30016465031016615,47.3831275,8.5033485,243.43494882292202,-0.1342377125071975,-0.268475425014395
152,2021-09-21 22:31:19,-15.555389922975198,-38.354279391865795,0.023,0.1898407936096209,47.3831288,8.503345,225.0,-0.1342377125071975,-0.1342377125071975
153,2021-09-21 22:31:20,-15.849075566323581,-38.41630809640547,0.036,0.1898407936096159,47.3831295,8.503343,225.0,-0.1342377125071975,-0.1342377125071975
154,2021-09-21 22:31:21,-16.03769269324055,-38.3947881904596,0.092,0.1342377125072005,47.3831299,8.5033413,270.0,-0.0,-0.1342377125071975
155,2021-09-21 22:31:22,-16.226309820157514,-38.37326828451373,0.05,0.16440694994052762,47.3831303,8.5033393,270.0,-0.0,-0.1644069499405287
156,2021-09-21 22:31:23,-16.331378336588934,-38.45681689499927,0.051,0.18984079360961914,47.3831305,8.5033371,270.0,-0.0,-0.18984079360961914
157,2021-09-21 22:31:24,-16.460060463233035,-38.55914262720334,0.09,0.16440694994052762,47.3831307,8.5033345,270.0,-0.0,-0.1644069499405287
158,2021-09-21 22:31:25,-16.608649784148767,-38.67729820526943,0.038,0.2122484597068066,47.3831313,8.5033322,270.0,-0.0,-0.21224845970680806
